id|address|bldgnbr|predir|streetname|streettype|suffdir|city|state_code|zip5|zip4|latitude|longitude|fullfipsid|objectid|gid|geom|cty_rural|blk_rural,,
21465|600 N PEREZ RD BOWIE AZ 85605|600|N|PEREZ|RD||BOWIE|AZ|85605||32.3292|-109.479|040030001001471|10-1-04-2-7874|7298|0101000020E610000000000000A45E5BC000000080242A4040|0|0,,
20082|13063 E RHYOLITE CREEK RD SAN SIMON AZ 85632|13063|E|RHYOLITE CREEK|RD||SAN SIMON|AZ|85632||32.0057|-109.357|040030001002117|10-1-04-2-6629|7299|0101000020E610000000000080D1565BC0000000E0B9004040|0|0,,
15967|6460 E HIGHWAY 181 PEARCE AZ 85625|6460|E|HIGHWAY 181|||PEARCE|AZ|85625||31.8763|-109.639|040030001002287|10-1-04-2-2925|7300|0101000020E610000000000080DF685BC00000008055E03F40|0|0,,
23426|1251 N VIRGINIA AVE WILLCOX AZ 85643|1251|N|VIRGINIA|AVE||WILLCOX|AZ|85643||32.2702|-109.847|040030002011149|10-1-04-2-9639|7301|0101000020E6100000000000602D765BC0000000A094224040|0|0,,
21419|780 S VISTA AVE WILLCOX AZ 85643|780|S|VISTA|AVE||WILLCOX|AZ|85643||32.2439|-109.892|040030002012025|10-1-04-2-7832|7302|0101000020E6100000000000C017795BC0000000A0381F4040|0|0,,
15949|480 N BISBEE WILLCOX AZ 85643|480|N|BISBEE|||WILLCOX|AZ|85643||32.2595|-109.841|040030002021000|10-1-04-2-2909|7303|0101000020E610000000000000D8755BC00000000036214040|0|0,,
16408|910 REX ALLEN DR WILLCOX AZ 85643|910||REX ALLEN|DR||WILLCOX|AZ|85643||32.2642|-109.838|040030002021000|10-1-04-2-3321|7304|0101000020E610000000000020A5755BC0000000C0D1214040|0|0,,
19227|480 N BISBEE AVE WILLCOX AZ 85643|480|N|BISBEE|AVE||WILLCOX|AZ|85643||32.2595|-109.841|040030002021000|10-1-04-2-586|7305|0101000020E610000000000000D8755BC00000000036214040|0|0,,
20340|1110 W FREMONT ST WILLCOX AZ 85643|1110||W FREMONT|ST||WILLCOX|AZ|85643||32.2595|-109.841|040030002021000|10-1-04-2-6861|7306|0101000020E610000000000080CF755BC0000000C036214040|0|0,,
23078|1100 W REX ALLEN DR WILLCOX AZ 85643|1100|W|REX ALLEN|DR||WILLCOX|AZ|85643||32.2642|-109.84|040030002021000|10-1-04-2-9325|7307|0101000020E6100000000000A0C3755BC000000000D2214040|0|0,,
